,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
171,Atlanta_01/29/04,Atlanta,2003,1/29/04,Portland,85-93,Regular Season,0,0,-8,0,-8,Atlanta,Portland,1,0
172,Atlanta_01/29/07,Orlando,2006,1/29/07,@ Atlanta,        83-93,Regular Season,-4,0,-10,0,-14,Atlanta,Orlando,0,0
173,Atlanta_01/29/10,Atlanta,2009,1/29/10,Boston,        100-91,Regular Season,-4,1,9,1,5,Atlanta,Boston,0,1
174,Atlanta_01/29/98,Atlanta,1997,1/29/98,Philadelphia,109-99,Regular Season,-8.5,1,10,1,1.5,Atlanta,Philadelphia,0,4
175,Atlanta_01/30/06,Atlanta,2005,1/30/06,New York,        120-101,Regular Season,-1,1,19,1,18,Atlanta,New York,0,4
176,Atlanta_01/30/09,Atlanta,2008,1/30/09,Brooklyn,        105-88,Regular Season,-7,1,17,1,10,Atlanta,Brooklyn,0,0
177,Atlanta_01/30/13,Atlanta,2012,1/30/13,Toronto,        93-92,Regular Season,-7,0,1,1,-6,Atlanta,Toronto,0,0
178,Atlanta_01/30/93,Atlanta,1992,1/30/93,Philadelphia,149-123,Regular Season,-5.5,1,26,1,20.5,Atlanta,Philadelphia,1,7
179,Atlanta_01/31/01,Atlanta,2000,1/31/01,Toronto,102-97,Regular Season,-1,1,5,1,4,Atlanta,Toronto,0,0
180,Atlanta_01/31/03,Atlanta,2002,1/31/03,Cleveland,96-91,Regular Season,-6.5,0,5,1,-1.5,Atlanta,Cleveland,1,0
181,Atlanta_01/31/04,Milwaukee,2003,1/31/04,@ Atlanta,83-93,Regular Season,-2.5,0,-10,0,-12.5,Atlanta,Milwaukee,0,2
182,Atlanta_01/31/05,Orlando,2004,1/31/05,@ Atlanta,        79-80,Regular Season,-5,0,-1,0,-6,Atlanta,Orlando,0,3
183,Atlanta_01/31/07,Atlanta,2006,1/31/07,Golden State,        115-94,Regular Season,-2,1,21,1,19,Atlanta,Golden State,4,0
